ID_TICKETS,CPR_DOCUMENTNO,CPR_DOCUMENTTYPE,CPR_STATUS,CPR_ITEMNO,CPR_CPNNO,CPR_SUBQUALIFIER,CPR_LANGUAGE,CPR_SOURCE,CPR_ENCODING,CPR_FREETEXT,CPR_MARKETINGCOMP,ID_PRODUCTLEVEL,CPR_DOCUMENTNO1,CPR_DOCUMENTTYPE1,CPR_STATUS1,DWH_SNAPSHOTTIMESTAMP
61351540,2.32246E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686797,2.32246E+12,E,ASS,29MAY2022:08:21:52.157
61351541,2.32246E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686799,2.32246E+12,E,ASS,29MAY2022:08:21:52.203
61351542,1.25952E+12,E,ASS,,3,,,,,,,155686812,1.25952E+12,E,ASS,29MAY2022:08:21:52.437
61351543,2.32246E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686817,2.32246E+12,E,ASS,29MAY2022:08:21:52.530
61351544,2.32588E+12,E,ASS,,2,,,,,,,155686819,2.32588E+12,E,ASS,29MAY2022:08:21:52.593
61351545,2.32246E+12,E,ASS,,2,4,EN,M,1,PREPAID BAGGAGE,,155686824,2.32246E+12,E,ASS,29MAY2022:08:21:52.703
61351546,2.32952E+12,E,ASS,,1,4,EN,M,1,EXCESS WEIGHT,,155686825,2.32952E+12,E,ASS,29MAY2022:08:21:52.720
61351547,2.32952E+12,E,ASS,,1,,,,,,,155686829,2.32952E+12,E,ASS,29MAY2022:08:21:52.797
61351548,2.32952E+12,E,ASS,,2,,,,,,,155686835,2.32952E+12,E,ASS,29MAY2022:08:21:52.907
61351549,2.32246E+12,E,ASS,,1,,,,,,,155686836,2.32246E+12,E,ASS,29MAY2022:08:21:52.937
61351550,2.32246E+12,E,ASS,,1,,,,,,,155686837,2.32246E+12,E,ASS,29MAY2022:08:21:52.953
61351551,2.32246E+12,E,ASS,,1,,,,,,,155686838,2.32246E+12,E,ASS,29MAY2022:08:21:53.000
61351552,2.32246E+12,E,ASS,,1,,,,,,,155686839,2.32246E+12,E,ASS,29MAY2022:08:21:53.030
61351553,2.32588E+12,E,ASS,,2,,,,,,,155686842,2.32588E+12,E,ASS,29MAY2022:08:21:53.110
61351554,2.32588E+12,E,ASS,,1,,,,,,,155686843,2.32588E+12,E,ASS,29MAY2022:08:21:53.123
61351555,2.32246E+12,E,ASS,,1,,,,,,,155686844,2.32246E+12,E,ASS,29MAY2022:08:21:53.157
61351556,2.32246E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686845,2.32246E+12,E,ASS,29MAY2022:08:21:53.170
61351557,2.32246E+12,E,ASS,,1,,,,,,,155686846,2.32246E+12,E,ASS,29MAY2022:08:21:53.203
61351558,2.32246E+12,E,ASS,,2,,,,,,,155686847,2.32246E+12,E,ASS,29MAY2022:08:21:53.220
61351559,2.32246E+12,E,ASS,,2,,,,,,,155686852,2.32246E+12,E,ASS,29MAY2022:08:21:53.330
61351560,2.32246E+12,E,ASS,,1,,,,,,,155686853,2.32246E+12,E,ASS,29MAY2022:08:21:53.360
61351561,2.32246E+12,E,ASS,,1,,,,,,,155686855,2.32246E+12,E,ASS,29MAY2022:08:21:53.407
61351562,2.32246E+12,E,ASS,,1,,,,,,,155686857,2.32246E+12,E,ASS,29MAY2022:08:21:53.437
61351563,2.32246E+12,E,ASS,,1,,,,,,,155686859,2.32246E+12,E,ASS,29MAY2022:08:21:53.483
61351564,2.32246E+12,E,ASS,,1,,,,,,,155686861,2.32246E+12,E,ASS,29MAY2022:08:21:53.517
61351565,2.32246E+12,E,ASS,,2,,,,,,,155686869,2.32246E+12,E,ASS,29MAY2022:08:21:53.670
61351566,2.32337E+12,E,ASS,,2,,,,,,,155686872,2.32337E+12,E,ASS,29MAY2022:08:21:53.733
61351567,2.32246E+12,E,ASS,,1,,,,,,,155686873,2.32246E+12,E,ASS,29MAY2022:08:21:53.767
61351568,2.32246E+12,E,ASS,,1,,,,,,,155686874,2.32246E+12,E,ASS,29MAY2022:08:21:53.780
61351569,2.32246E+12,E,ASS,,1,,,,,,,155686875,2.32246E+12,E,ASS,29MAY2022:08:21:53.813
61351570,2.32246E+12,E,ASS,,1,,,,,,,155686876,2.32246E+12,E,ASS,29MAY2022:08:21:53.843
61351571,2.32246E+12,E,ASS,,1,,,,,,,155686877,2.32246E+12,E,ASS,29MAY2022:08:21:53.873
61351572,2.32246E+12,E,ASS,,2,,,,,,,155686878,2.32246E+12,E,ASS,29MAY2022:08:21:53.890
61351573,2.32246E+12,E,ASS,,1,,,,,,,155686879,2.32246E+12,E,ASS,29MAY2022:08:21:54.017
61351574,2.32246E+12,E,ASS,,1,,,,,,,155686880,2.32246E+12,E,ASS,29MAY2022:08:21:54.047
61351575,2.32952E+12,E,ASS,,2,,,,,,,155686882,2.32952E+12,E,ASS,29MAY2022:08:21:54.110
61351576,2.32504E+12,E,ASS,,1,,,,,,,155686884,2.32504E+12,E,ASS,29MAY2022:08:29:12.973
61351577,2.32246E+12,E,ASS,,1,,,,,,,155686885,2.32246E+12,E,ASS,29MAY2022:08:29:13.003
61351578,2.32246E+12,E,ASS,,2,,,,,,,155686886,2.32246E+12,E,ASS,29MAY2022:08:29:13.037
61351579,2.32246E+12,E,ASS,,1,,,,,,,155686891,2.32246E+12,E,ASS,29MAY2022:08:29:13.177
61351580,2.32246E+12,E,ASS,,2,,,,,,,155686892,2.32246E+12,E,ASS,29MAY2022:08:29:13.227
61351581,2.32246E+12,E,ASS,,1,,,,,,,155686897,2.32246E+12,E,ASS,29MAY2022:08:29:13.583
61351582,2.32246E+12,E,ASS,,2,,,,,,,155686898,2.32246E+12,E,ASS,29MAY2022:08:29:13.613
61351583,2.32246E+12,E,ASS,,1,,,,,,,155686903,2.32246E+12,E,ASS,29MAY2022:08:29:13.770
61351584,2.32246E+12,E,ASS,,2,,,,,,,155686904,2.32246E+12,E,ASS,29MAY2022:08:29:13.800
61351585,2.32246E+12,E,ASS,,1,,,,,,,155686911,2.32246E+12,E,ASS,29MAY2022:08:29:13.990
61351586,2.32588E+12,E,ASS,,1,,,,,,,155686914,2.32588E+12,E,ASS,29MAY2022:08:29:14.083
61351587,2.32588E+12,E,ASS,,1,4,EN,M,1,PREPAID BAGGAGE,,155686915,2.32588E+12,E,ASS,29MAY2022:08:29:14.113
61351588,2.32246E+12,E,ASS,,2,,,,,,,155686917,2.32246E+12,E,ASS,29MAY2022:08:29:14.207
61351589,2.32246E+12,E,ASS,,2,,,,,,,155686919,2.32246E+12,E,ASS,29MAY2022:08:29:14.270
